Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
wukong,48.64%,51.36%,47.10%,52.90%,3.36 : 1,3.27 : 1,57.99%,57.21%,48.64%,51.36%,52.29%,51.41%,3.11%,13.12%,1.40%,21.21%
xayah,,,,,,,,,,,,,,,,
xerath,51.30%,48.70%,47.08%,52.92%,3.27 : 1,2.54 : 1,56.17%,50.47%,51.30%,48.70%,52.29%,49.79%,3.11%,3.05%,1.40%,4.97%
xinzhao,,,,,,,,,,,,,,,,
yasuo,,,,,,,,,,,,,,,,
yone,,,,,,,,,,,,,,,,
yorick,,,,,,,,,,,,,,,,
yuumi,54.66%,45.34%,36.93%,63.07%,3.43 : 1,4.64 : 1,58.87%,62.79%,54.66%,45.34%,52.29%,49.81%,3.11%,7.15%,1.40%,13.03%
zac,,,,,,,,,,,,,,,,
zed,,,,,,,,,,,,,,,,
zeri,,,,,,,,,,,,,,,,
ziggs,,,,,,,,,,,,,,,,
zoe,58.82%,41.18%,46.96%,53.04%,3.27 : 1,2.01 : 1,58.06%,49.22%,58.82%,41.18%,52.29%,49.32%,3.11%,0.83%,1.40%,7.63%
zyra,53.78%,46.22%,50.93%,49.07%,3.41 : 1,2.19 : 1,56.02%,47.24%,53.78%,46.22%,52.29%,50.54%,3.11%,2.43%,1.40%,2.05%
